status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
Active,,Single Family Home,240 Heather Ln,3.5,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central A/C, Heat Pump', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$144', 'factLabel': 'Price/sqft'}]}",Gas Logs,Southern Pines,"[{'rating': ['4', '4', '7', 'NR', '4', '7', 'NR', 'NR'], 'data': {'Distance': ['2.7 mi', '3.6 mi', '5.1 mi', '4.0 mi', '10.5 mi', '12.6 mi', '2.7 mi', '3.1 mi'], 'Grades': ['3–5', '6–8', '9–12', 'PK–2', '6–8', '9–12', 'PK–5', 'K–12']}, 'name': ['Southern Pines Elementary School', 'Southern Middle School', 'Pinecrest High School', 'Southern Pines Primary School', ""Crain's Creek Middle School"", 'Union Pines High School', 'Episcopal Day Private School', 'Calvary Christian Private School']}]",2900,28387,4,NC,,,,611019,"$418,000"
for sale,,single-family home,12911 E Heroy Ave,3 Baths,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '5828 sqft', 'factLabel': 'lotsize'}, {'factValue': '$159/sqft', 'factLabel': 'Price/sqft'}]}",,Spokane Valley,"[{'rating': ['4/10', 'None/10', '4/10'], 'data': {'Distance': ['1.65mi', '1.32mi', '1.01mi'], 'Grades': ['9-12', '3-8', 'PK-8']}, 'name': ['East Valley High School&Extension', 'Eastvalley Middle School', 'Trentwood Elementary School']}]","1,947 sqft",99216,3 Beds,WA,2.0,,,201916904,"$310,000"
for sale,,single-family home,2005 Westridge Rd,2 Baths,"{'atAGlanceFacts': [{'factValue': '1961', 'factLabel': 'Year built'}, {'factValue': '1967', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '8,626 sqft', 'factLabel': 'lotsize'}, {'factValue': '$965/sqft', 'factLabel': 'Price/sqft'}]}",yes,Los Angeles,"[{'rating': ['8/10', '4/10', '8/10'], 'data': {'Distance': ['1.19mi', '2.06mi', '2.63mi'], 'Grades': ['6-8', 'K-5', '9-12']}, 'name': ['Paul Revere Middle School', 'Brentwood Science School', 'Palisades Charter High School']}]","3,000 sqft",90049,3 Beds,CA,1.0,,yes,FR19221027,"$2,895,000"
for sale,,single-family home,4311 Livingston Ave,8 Baths,"{'atAGlanceFacts': [{'factValue': '2006', 'factLabel': 'Year built'}, {'factValue': '2006', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '8,220 sqft', 'factLabel': 'lotsize'}, {'factValue': '$371/sqft', 'factLabel': 'Price/sqft'}]}",yes,Dallas,"[{'rating': ['9/10', '9/10', '10/10', '9/10'], 'data': {'Distance': ['1.05mi', '0.1mi', '1.05mi', '0.81mi'], 'Grades': ['5-6', 'PK-4', '7-8', '9-12']}, 'name': ['Mcculloch Intermediate School', 'Bradfield Elementary School', 'Highland Park Middle School', 'Highland Park High School']}]","6,457 sqft",75205,5 Beds,TX,3.0,,,14191809,"$2,395,000"
for sale,,lot/land,1524 Kiscoe St,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '10,019 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Palm Bay,"[{'rating': ['4/10', '5/10', '5/10'], 'data': {'Distance': ['5.96mi', '3.25mi', '3.03mi'], 'Grades': ['7-8', '9-12', 'PK-6']}, 'name': ['Southwest Middle School', 'Bayside High School', 'Westside Elementary School']}]",,32908,,FL,,,,861745,"$5,000"
for sale,,townhouse,1624 S Newkirk St,,"{'atAGlanceFacts': [{'factValue': '1920', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '680 sqft', 'factLabel': 'lotsize'}, {'factValue': '$233/sqft', 'factLabel': 'Price/sqft'}]}",,Philadelphia,"[{'rating': [], 'data': {'Distance': [], 'Grades': []}, 'name': []}]",897 sqft,19145,2 Beds,PA,2.0,,,PAPH847006,"$209,000"
Active,,Florida,552 Casanova Ct ,,"{'atAGlanceFacts': [{'factValue': '2006', 'factLabel': 'Year built'}, {'factValue': '2006', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric, Heat Pump', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '4,996 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$120 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,POINCIANA,"[{'rating': ['3', '3', '1', 'NR'], 'data': {'Distance': ['0.8 mi', '8.3 mi', '4.2 mi', '2.0 mi'], 'Grades': ['Preschool to 4', 'Preschool to 12', '5 to 8', '1 to 12']}, 'name': ['Palmetto Elementary School', 'Haines City Senior High School', 'Lake Marion Creek Elementary School', 'Chosen Generation Christian Academy']}]","1,507",34759,,FL,One,,,S5026943,"181,500"
Active,,,6094 Mingle Dr ,,"{'atAGlanceFacts': [{'factValue': '1976', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8,750 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$57 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Memphis,"[{'rating': ['4', '2', '2'], 'data': {'Distance': ['0.7 mi', '0.4 mi', '2.2 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Crump Elementary School', 'Hickory Ridge Middle School', 'Wooddale High School']}]",,38115,,TN,,,,10063506,"68,000"
Active,,Single Family Home,11182 Owl Ave,2,"{'atAGlanceFacts': [{'factValue': '1970', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '124582', 'factLabel': 'lotsize'}, {'factValue': '$68', 'factLabel': 'Price/sqft'}]}",,Mason City,"[{'rating': ['2', '2', '4', '7', '4', 'NR'], 'data': {'Distance': ['5.6 mi', '5.6 mi', '6.8 mi', '6.5 mi', '6.8 mi', '6.8 mi'], 'Grades': ['PK–4', '5–6', '9–12', 'PK–4', '7–8', '9–12']}, 'name': ['Roosevelt Elementary School', 'Lincoln Intermediate School', 'Mason City High School', 'Jefferson Elementary School', 'John Adams Middle School', 'Alternative School']}]",3588,50401,3,IA,,,,190988,"$244,900"
,,Single Family,8612 Cedar Plains Ln,3,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Gas', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '2,056 sqft', 'factLabel': 'lotsize'}, {'factValue': '$162', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['4/10', '3/10', '2/10'], 'data': {'Distance': ['0.7 mi', '0.6 mi', '1.9 mi'], 'Grades': ['PK-5', '5-8', '9-12']}, 'name': ['Edgewood Elementary School', 'Landrum Middle School', 'Northbrook High School']}]","1,930",77080,3,TX,2.0,,,73968331,"$311,995"
